date,mask,cum_confirmed,cum_death,confirmed,world_cum_confirmed,world_cum_death,world_confirmed,social_distance,hand_sanitizer,corona_virus,anxiety_index
2020-01-23,0.66898,1,0,0,555,17,99,0.01647,1.3608,11.09736,1.785687852
2020-01-24,0.68787,1,0,1,654,18,287,0.01576,1.27703,8.96625,9.638315024
2020-01-25,1.58787,2,0,0,941,26,493,0.02273,3.15706,7.74046,7.897225075
2020-01-26,3.31664,2,0,1,1434,42,684,0.03712,8.46618,6.30278,8.649862711
2020-01-27,9.43058,3,0,1,2118,56,809,0.07444,23.08031,8.37687,5.853404771
2020-01-28,24.31349,4,0,0,2927,82,2651,0.29814,94.90946,10.01316,12.88839239
2020-01-29,25.24407,4,0,0,5578,131,588,0.25847,100,6.97602,12.95623386
2020-01-30,27.14675,4,0,0,6166,133,2068,0.17269,69.534,6.19062,7.464367108
2020-01-31,37.58814,4,0,7,8234,171,1693,0.2514,73.6385,7.91048,6.373934197
2020-02-01,25.65266,11,0,1,9927,213,2111,0.15819,43.02287,5.29034,9.702758281
2020-02-02,24.95892,12,0,3,12038,259,4749,5.10828,39.24281,5.27645,5.694783237
2020-02-03,28.43645,15,0,0,16787,362,3100,7.15973,49.94449,6.26801,3.3006438
2020-02-04,22.03433,15,0,1,19887,426,4011,0.3315,35.39103,4.95848,4.500424004
2020-02-05,22.8591,16,0,3,23898,492,3745,0.31227,32.38705,4.79868,3.351350202
2020-02-06,22.81897,19,0,4,27643,564,3159,0.3648,30.99073,5.57957,3.751860117
2020-02-07,21.59988,23,0,1,30802,634,3532,0.30638,24.78589,4.524,2.926830875
2020-02-08,17.53624,24,0,0,34334,719,2734,0.2034,13.98354,4.83641,3.612946681
2020-02-09,13.46971,24,0,1,37068,806,3027,0.14777,9.57738,4.31547,2.648150301
2020-02-10,14.96486,25,0,2,40095,906,2538,0.20482,13.0368,5.89627,2.792230595
2020-02-11,11.41921,27,0,1,42633,1013,2042,0.17513,10.13521,2.71897,4.064744505
2020-02-12,8.96691,28,0,0,44675,1113,1886,0.13785,8.82302,13.04956,3.248494281
2020-02-13,7.86987,28,0,0,46561,1118,13645,0.09865,6.53995,22.86634,3.537010228
2020-02-14,5.19509,28,0,0,60206,1371,6484,0.11904,4.78541,8.1927,3.51137305
2020-02-15,3.88818,28,0,0,66690,1523,2075,0.08212,2.78333,2.85194,2.471550623
2020-02-16,3.62279,28,0,1,68765,1666,2114,0.07058,2.37719,2.68892,3.672875605
2020-02-17,5.79048,29,0,1,70879,1770,1936,0.114,4.4565,3.19701,4.688138505
2020-02-18,7.91351,30,0,1,72815,1868,1794,0.16048,6.28689,5.06878,7.245224559
2020-02-19,21.90171,31,0,0,74609,2008,421,0.31909,15.79738,14.18413,9.202684154
2020-02-20,36.22879,31,0,73,75030,2123,547,0.48436,24.54869,32.10574,7.545456083
2020-02-21,54.97854,104,1,100,75577,2246,629,0.55133,33.71752,47.17254,6.588632283
2020-02-22,58.17693,204,2,229,76206,2250,1761,0.69432,37.86614,56.60331,9.925366703
2020-02-23,64.08942,433,2,169,77967,2457,323,0.69452,44.58917,73.07983,12.37083365
2020-02-24,100,602,6,231,78290,2467,564,0.92661,61.19504,100,12.87156721
2020-02-25,93.97094,833,8,144,78854,2627,853,0.76994,45.30836,89.14758,16.74558141
2020-02-26,76.21305,977,10,284,79707,2707,963,0.83106,37.76995,83.14414,20.42622982
2020-02-27,69.63903,1261,12,505,80670,2767,1364,1.46635,33.1714,74.26515,17.56805351
2020-02-28,74.85269,1766,13,571,82034,2810,1377,3.02835,26.22841,61.77316,17.61806305
2020-02-29,62.49035,2337,13,813,83411,2867,1895,0.48878,22.80208,57.40691,16.18211236
2020-03-01,53.1135,3150,16,586,85306,2936,2384,0.51166,19.50677,53.05979,18.08097458
2020-03-02,70.43641,3736,17,599,87690,2990,1974,0.77085,21.28233,67.20361,22.78819901
2020-03-03,63.87292,4335,28,851,89664,3079,2577,0.95641,16.64586,60.06244,22.14211647
2020-03-04,57.45599,5186,28,435,92241,3154,2299,7.17844,14.64171,60.38164,19.89012831
2020-03-05,60.13446,5621,35,467,94540,3249,2791,0.753,12.89407,55.12664,18.00859762
2020-03-06,49.50661,6088,35,505,97331,3342,3943,0.64144,11.55257,50.27277,20.42986091
2020-03-07,32.59508,6593,42,448,101274,3454,4038,0.46503,8.34792,40.50988,24.69144983
2020-03-08,27.81419,7041,44,273,105312,3553,3954,5.69841,6.80025,37.28995,23.79945677
2020-03-09,33.12072,7314,50,164,109266,3797,3900,14.94824,9.4836,43.3109,35.11679067
2020-03-10,27.69738,7478,53,35,113166,3981,5024,0.59302,9.92008,43.54614,43.25034015
2020-03-11,32.45818,7513,54,242,118190,4260,7663,0.56536,8.97196,31.28193,68.63268967
2020-03-12,34.89645,7755,60,114,125853,4604,5750,3.75858,8.74269,28.42649,90.09651117
